file_name,shape,color,name,ndc11
881.jpg, ROUND, WHITE,Doxazosin 8 MG Oral Tablet,00093-8123-01
882.jpg, ROUND, ORANGE,quetiapine 25 MG Oral Tablet,00093-8161-01
883.jpg, ROUND, ORANGE,quetiapine 100 MG Oral Tablet,00093-8162-01
884.jpg, ROUND, WHITE,quetiapine 200 MG Oral Tablet,00093-8163-01
885.jpg, OVAL, YELLOW,quetiapine 300 MG Oral Tablet,00093-8164-01
886.jpg, OVAL, WHITE,quetiapine 400 MG Oral Tablet,00093-8165-01
887.jpg, ROUND, WHITE,quetiapine 50 MG Oral Tablet,00093-8166-01
888.jpg, OVAL, GREEN,Cimetidine 300 MG Oral Tablet,00093-8192-01
889.jpg, OVAL, GREEN,Cimetidine 400 MG Oral Tablet,00093-8204-01
890.jpg, OVAL, PINK,Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet,00093-8232-56
891.jpg, OVAL, PINK,Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet,00093-8238-56
892.jpg, OVAL, WHITE,linezolid 600 MG Oral Tablet,00093-8244-34
893.jpg, OVAL, WHITE,Cimetidine 800 MG Oral Tablet,00093-8305-01
894.jpg, ROUND, WHITE,Glyburide 1.25 MG Oral Tablet,00093-8342-01
895.jpg, ROUND, ORANGE,Glyburide 2.5 MG Oral Tablet,00093-8343-05
896.jpg, ROUND, GREEN,Glyburide 5 MG Oral Tablet,00093-8344-10
897.jpg, CAPSULE," ORANGE, BROWN",Mexiletine Hydrochloride 150 MG Oral Capsule,00093-8739-01
898.jpg, CAPSULE, ORANGE,Mexiletine Hydrochloride 200 MG Oral Capsule,00093-8740-01
899.jpg, CAPSULE," ORANGE, TURQUOISE",Mexiletine Hydrochloride 250 MG Oral Capsule,00093-8741-01
900.jpg, CAPSULE, BLUE,Acyclovir 200 MG Oral Capsule,00093-8940-01
901.jpg, OVAL, BLUE,Acyclovir 400 MG Oral Tablet,00093-8943-01
902.jpg, OVAL, WHITE,Acyclovir 800 MG Oral Tablet,00093-8947-01
903.jpg, ROUND, ORANGE,Mebendazole 100 MG Chewable Tablet,00093-9107-29
904.jpg, ROUND, PINK,Amiodarone hydrochloride 200 MG Oral Tablet,00093-9133-06
905.jpg, ROUND, WHITE,Quinidine Sulfate 300 MG Extended Release Oral Tablet,00093-9175-01
906.jpg, OVAL, BLUE,Glyburide 5 MG Oral Tablet,00093-9364-01
907.jpg, OVAL, PINK,Glyburide 2.5 MG Oral Tablet,00093-9433-01
908.jpg, OVAL, WHITE,Glyburide 1.25 MG Oral Tablet,00093-9477-53
909.jpg, ROUND, YELLOW,Prochlorperazine 5 MG Oral Tablet,00093-9643-01
910.jpg, ROUND, YELLOW,Prochlorperazine 10 MG Oral Tablet,00093-9652-01
911.jpg, OVAL, WHITE,Hydroxychloroquine Sulfate 200 MG Oral Tablet,00093-9774-01
912.jpg, CAPSULE, ORANGE,Fenofibrate 200 MG Oral Capsule,00115-0533-01
913.jpg, ROUND, YELLOW,zolmitriptan 2.5 MG Oral Tablet,00115-0671-51
914.jpg, ROUND, WHITE,Promethazine Hydrochloride 25 MG Oral Tablet,00115-1041-01
915.jpg, ROUND, WHITE,Dipyridamole 75 MG Oral Tablet,00115-1072-01
916.jpg, ROUND, WHITE,Acarbose 50 MG Oral Tablet,00115-1151-01
917.jpg, OVAL, YELLOW,Dutasteride 0.5 MG Oral Capsule,00115-1438-08
918.jpg, CAPSULE," YELLOW, BLUE",fenofibric acid 135 MG Delayed Release Oral Capsule,00115-1460-10
919.jpg, ROUND, WHITE,Flavoxate Hydrochloride 100 MG Oral Tablet,00115-1811-01
920.jpg, ROUND, WHITE,12 HR Orphenadrine Citrate 100 MG Extended Release Oral Tablet,00115-2011-01
921.jpg, OVAL, WHITE,Riluzole 50 MG Oral Tablet,00115-3000-13
922.jpg, ROUND, WHITE,Pyridostigmine Bromide 60 MG Oral Tablet,00115-3511-01
923.jpg, OVAL, PURPLE,Carbidopa 25 MG / Levodopa 100 MG Extended Release Oral Tablet,00115-3922-01
924.jpg, ROUND, ORANGE,midodrine hydrochloride 5 MG Oral Tablet,00115-4222-01
925.jpg, ROUND, GREEN,midodrine hydrochloride 10 MG Oral Tablet,00115-4233-01
926.jpg, CAPSULE," YELLOW, RED",Dantrolene Sodium 100 MG Oral Capsule,00115-4433-01
927.jpg, OVAL, WHITE,Fenofibrate 160 MG Oral Tablet,00115-5522-10
928.jpg, ROUND, WHITE,Fludrocortisone 0.1 MG Oral Tablet,00115-7033-01
929.jpg, OVAL, PINK,lacosamide 50 MG Oral Tablet [Vimpat],00131-2477-35
930.jpg, OVAL, YELLOW,lacosamide 100 MG Oral Tablet [Vimpat],00131-2478-35
931.jpg, ROUND, WHITE,24 HR venlafaxine 225 MG Extended Release Oral Tablet,00131-3268-32
932.jpg, ROUND, WHITE,Atropine Sulfate 0.0194 MG / Hyoscyamine Sulfate 0.104 MG / Phenobarbital 16.2 MG / Scopolamine Hydrobromide 0.0065 MG Oral Tablet,00143-1140-10
933.jpg, ROUND, WHITE,Captopril 25 MG Oral Tablet,00143-1172-01
934.jpg, ROUND, WHITE,-,00143-1201-01
935.jpg, ROUND, WHITE,cortisone acetate 25 MG Oral Tablet,00143-1202-01
936.jpg, ROUND, WHITE,Chlorothiazide 500 MG Oral Tablet,00143-1210-01
937.jpg, ROUND, BLUE,Dicyclomine Hydrochloride 20 MG Oral Tablet,00143-1227-01
938.jpg, ROUND, YELLOW,Digoxin 0.125 MG Oral Tablet,00143-1240-01
939.jpg, ROUND, WHITE,Digoxin 0.25 MG Oral Tablet,00143-1241-01
940.jpg, ROUND, WHITE,Hydrocortisone 20 MG Oral Tablet,00143-1254-01
941.jpg, ROUND, ORANGE,Hydrochlorothiazide 50 MG Oral Tablet,00143-1257-01
942.jpg, ROUND, YELLOW,Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet,00143-1263-10
943.jpg, ROUND, RED,Lisinopril 20 MG Oral Tablet,00143-1268-01
944.jpg, ROUND, WHITE,Lithium Carbonate 300 MG Oral Tablet,00143-1300-01
945.jpg, ROUND, WHITE,Isosorbide Mononitrate 20 MG Oral Tablet,00143-1333-01
946.jpg, ROUND, WHITE,Prednisone 2.5 MG Oral Tablet,00143-1425-01
947.jpg, ROUND, WHITE,Phenobarbital 15 MG Oral Tablet,00143-1445-10
948.jpg, ROUND, WHITE,Phenobarbital 30 MG Oral Tablet,00143-1450-10
949.jpg, ROUND, WHITE,Phenobarbital 100 MG Oral Tablet,00143-1458-10
950.jpg, ROUND, WHITE,Prednisone 10 MG Oral Tablet,00143-1473-01
951.jpg, ROUND, WHITE,Prednisone 5 MG Oral Tablet,00143-1475-01
952.jpg, ROUND, YELLOW,Isosorbide Dinitrate 2.5 MG Sublingual Tablet,00143-1765-01
953.jpg, ROUND, WHITE,Isosorbide Dinitrate 10 MG Oral Tablet,00143-1771-10
954.jpg, CAPSULE," BLUE, BLUE",Colchicine 0.6 MG Oral Capsule,00143-3018-01
955.jpg, CAPSULE, BLUE,Dicyclomine Hydrochloride 10 MG Oral Capsule,00143-3126-01
956.jpg, CAPSULE, TURQUOISE,doxycycline hyclate 100 MG Oral Capsule,00143-3142-05
957.jpg, CAPSULE," BLUE, WHITE",Flurazepam Hydrochloride 15 MG Oral Capsule,00143-3367-01
958.jpg, CAPSULE, BLUE,Flurazepam Hydrochloride 30 MG Oral Capsule,00143-3370-01
959.jpg, OVAL, WHITE,Gemfibrozil 600 MG Oral Tablet,00143-9130-05
960.jpg, OVAL, YELLOW,Sertraline 100 MG Oral Tablet,00143-9580-30
961.jpg, OVAL, BLUE,Sertraline 50 MG Oral Tablet,00143-9581-30
962.jpg, OVAL, GREEN,Sertraline 25 MG Oral Tablet,00143-9582-30
963.jpg, ROUND, YELLOW,Folic Acid 1 MG Oral Tablet,00143-9717-10
964.jpg, ROUND, WHITE,Prednisone 10 MG Oral Tablet,00143-9739-10
965.jpg, ROUND, WHITE,Prednisone 5 MG Oral Tablet,00143-9740-01
966.jpg, CAPSULE, BLUE,doxycycline hyclate 100 MG Oral Capsule,00143-9803-50
967.jpg, OVAL, BLUE,Glyburide 3 MG Oral Tablet,00143-9919-01
968.jpg, OVAL, YELLOW,Glyburide 6 MG Oral Tablet,00143-9920-01
969.jpg, ROUND, WHITE,Ciprofloxacin 250 MG Oral Tablet,00143-9927-01
970.jpg, OVAL, WHITE,Cefadroxil 1000 MG Oral Tablet,00143-9948-50
971.jpg, CAPSULE," PURPLE, GRAY",Cefaclor 500 MG Oral Capsule,00143-9986-01
972.jpg, CAPSULE," BROWN, WHITE",Acitretin 10 MG Oral Capsule [Soriatane],00145-0090-25
973.jpg, CAPSULE," BROWN, YELLOW",Acitretin 25 MG Oral Capsule [Soriatane],00145-0091-25
974.jpg, CAPSULE, YELLOW,Acitretin 17.5 MG Oral Capsule [Soriatane],00145-3817-03
975.jpg, CAPSULE, WHITE,"NITROFURANTOIN, MACROCRYSTALS 25 MG Oral Capsule [Macrodantin]",00149-0007-05
976.jpg, OVAL, BROWN,mesalamine 400 MG Enteric Coated Tablet [Asacol],00149-0752-15
977.jpg, ROUND, WHITE,repaglinide 0.5 MG Oral Tablet [Prandin],00169-0081-81
978.jpg, ROUND, YELLOW,repaglinide 1 MG Oral Tablet [Prandin],00169-0082-81
979.jpg, ROUND, PINK,repaglinide 2 MG Oral Tablet [Prandin],00169-0084-81
980.jpg, ROUND, ORANGE,Hydrochlorothiazide 25 MG Oral Tablet,00172-2083-60
981.jpg, ROUND, ORANGE,Hydrochlorothiazide 25 MG Oral Tablet,00172-2083-60
982.jpg, ROUND, ORANGE,Hydrochlorothiazide 50 MG Oral Tablet,00172-2089-60
983.jpg, CAPSULE," BLACK, YELLOW",Tetracycline 500 MG Oral Capsule,00172-2407-80
984.jpg, CAPSULE," ORANGE, YELLOW",Tetracycline 250 MG Oral Capsule,00172-2416-80
985.jpg, ROUND, ORANGE,Famotidine 10 MG Oral Tablet,00172-2662-46
986.jpg, ROUND, WHITE,Furosemide 40 MG Oral Tablet,00172-2907-60
987.jpg, ROUND, WHITE,Furosemide 20 MG Oral Tablet,00172-2908-60
988.jpg, ROUND, WHITE,Furosemide 20 MG Oral Tablet,00172-2908-60
989.jpg, ROUND, ORANGE,Doxycycline 100 MG Oral Tablet,00172-3626-48
990.jpg, ROUND, WHITE,Glipizide 5 MG Oral Tablet,00172-3649-60
991.jpg, ROUND, WHITE,Glipizide 10 MG Oral Tablet,00172-3650-70
992.jpg, ROUND, WHITE,Lisinopril 2.5 MG Oral Tablet,00172-3757-60
993.jpg, SQUARE, WHITE,Lisinopril 5 MG Oral Tablet,00172-3758-60
994.jpg, TRIANGLE, WHITE,Lisinopril 10 MG Oral Tablet,00172-3759-60
995.jpg, PENTAGON, WHITE,Lisinopril 20 MG Oral Tablet,00172-3760-60
996.jpg, ROUND, WHITE,Lisinopril 40 MG Oral Tablet,00172-3761-60
997.jpg, OVAL, WHITE,Lisinopril 30 MG Oral Tablet,00172-3762-60
998.jpg, ROUND, WHITE,Diazepam 2 MG Oral Tablet,00172-3925-60
999.jpg, ROUND, YELLOW,Diazepam 5 MG Oral Tablet,00172-3926-60
1000.jpg, ROUND, BLUE,Diazepam 10 MG Oral Tablet,00172-3927-60
1001.jpg, ROUND, WHITE,Baclofen 10 MG Oral Tablet,00172-4096-60
1002.jpg, ROUND, WHITE,Baclofen 10 MG Oral Tablet,00172-4096-60
1003.jpg, ROUND, WHITE,Baclofen 20 MG Oral Tablet,00172-4097-60
1004.jpg, ROUND, WHITE,Baclofen 20 MG Oral Tablet,00172-4097-60
1005.jpg, OVAL, WHITE,Verapamil hydrochloride 240 MG Extended Release Oral Tablet,00172-4280-60
1006.jpg, ROUND, WHITE,Verapamil hydrochloride 120 MG Extended Release Oral Tablet,00172-4285-60
1007.jpg, OVAL, ORANGE,Verapamil hydrochloride 180 MG Extended Release Oral Tablet,00172-4286-60
1008.jpg, ROUND,ORANGE,Ranitidine 150 MG Oral Tablet,00172-4357-49
1009.jpg, OVAL,ORANGE,Ranitidine 300 MG Oral Tablet,00172-4358-46
1010.jpg, ROUND, YELLOW,Labetalol hydrochloride 100 MG Oral Tablet,00172-4364-60
1011.jpg, ROUND, YELLOW,Labetalol hydrochloride 100 MG Oral Tablet,00172-4364-60
1012.jpg, ROUND, WHITE,Labetalol hydrochloride 200 MG Oral Tablet,00172-4365-60
1013.jpg, ROUND, GREEN,Labetalol hydrochloride 300 MG Oral Tablet,00172-4366-60
1014.jpg, ROUND, WHITE,doxycycline hyclate 20 MG Oral Tablet,00172-4626-60
1015.jpg, CAPSULE, BROWN,Flutamide 125 MG Oral Capsule,00172-4960-58
1016.jpg, ROUND, PINK,Hydrochlorothiazide 25 MG / Lisinopril 20 MG Oral Tablet,00172-5032-60
1017.jpg, ROUND, BLUE,Hydrochlorothiazide 12.5 MG / Lisinopril 10 MG Oral Tablet,00172-5033-60
1018.jpg, ROUND, YELLOW,Hydrochlorothiazide 12.5 MG / Lisinopril 20 MG Oral Tablet,00172-5034-60
1019.jpg, CAPSULE, WHITE,anagrelide 1 MG Oral Capsule,00172-5240-60
1020.jpg, CAPSULE," GRAY, WHITE",anagrelide 0.5 MG Oral Capsule,00172-5241-60
1021.jpg, OVAL, WHITE,Ciprofloxacin 250 MG Oral Tablet,00172-5311-60
1022.jpg, OVAL, WHITE,Ciprofloxacin 500 MG Oral Tablet,00172-5312-70
1023.jpg, OVAL, WHITE,Ciprofloxacin 750 MG Oral Tablet,00172-5313-60
1024.jpg, OVAL, PINK,-,00172-5361-60
1025.jpg, OVAL, PINK,Fluconazole 50 MG Oral Tablet,00172-5410-46
1026.jpg, OVAL, PINK,Fluconazole 100 MG Oral Tablet,00172-5411-60
1027.jpg, OVAL, PINK,Fluconazole 150 MG Oral Tablet,00172-5412-79
1028.jpg, OVAL, PINK,Fluconazole 200 MG Oral Tablet,00172-5413-46
1029.jpg, OVAL, WHITE,buspirone hydrochloride 5 MG Oral Tablet,00172-5663-10
1030.jpg, ROUND, BROWN,Famotidine 20 MG Oral Tablet,00172-5728-60
1031.jpg, ROUND, BROWN,Famotidine 20 MG Oral Tablet,00172-5728-60
1032.jpg, ROUND, BROWN,Famotidine 40 MG Oral Tablet,00172-5729-60
1033.jpg, OVAL, YELLOW,Acetaminophen 325 MG / tramadol hydrochloride 37.5 MG Oral Tablet,00172-6359-60
1034.jpg, OVAL, YELLOW,"cyclosporine, modified 25 MG Oral Capsule",00172-7310-46
1035.jpg, OVAL,ORANGE,"cyclosporine, modified 50 MG Oral Capsule",00172-7311-46
1036.jpg, OVAL, BROWN,"cyclosporine, modified 100 MG Oral Capsule",00172-7312-46
1037.jpg, ROUND, PURPLE,12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet [Wellbutrin],00173-0135-55
1038.jpg, ROUND,ORANGE,Bupropion Hydrochloride 75 MG Oral Tablet [Wellbutrin],00173-0177-55
1039.jpg, ROUND, RED,Bupropion Hydrochloride 100 MG Oral Tablet [Wellbutrin],00173-0178-55
1040.jpg, ROUND, YELLOW,Digoxin 0.125 MG Oral Tablet [Lanoxin],00173-0242-55
1041.jpg, ROUND, WHITE,Digoxin 0.25 MG Oral Tablet [Lanoxin],00173-0249-55
1042.jpg, PENTAGON, ORANGE,Ranitidine 150 MG Oral Tablet [Zantac],00173-0344-42
1043.jpg, OVAL, WHITE,Cefuroxime 250 MG Oral Tablet [Ceftin],00173-0387-00
1044.jpg, OVAL,GREEN,Ranitidine 300 MG Oral Tablet [Zantac],00173-0393-40
1045.jpg, OVAL, WHITE,Cefuroxime 500 MG Oral Tablet [Ceftin],00173-0394-00
1046.jpg, OVAL, WHITE,lamotrigine 5 MG Chewable Tablet [Lamictal],00173-0526-00
1047.jpg, SQUARE, WHITE,lamotrigine 25 MG Chewable Tablet [Lamictal],00173-0527-00
1048.jpg, ROUND, PURPLE,Smoking Cessation 12 HR Bupropion Hydrochloride 150 MG Extended Release Oral Tablet [Zyban],00173-0556-02
1049.jpg, SEMI-CIRCLE, WHITE,naratriptan 1 MG Oral Tablet [Amerge],00173-0561-00
1050.jpg, SEMI-CIRCLE, GREEN,-,00173-0562-01
1051.jpg, OVAL, BLUE,valacyclovir 1000 MG Oral Tablet [Valtrex],00173-0565-04
1052.jpg, ROUND, WHITE,Ondansetron 4 MG Disintegrating Oral Tablet [Zofran],00173-0569-00
1053.jpg, OVAL, WHITE,Lamivudine 150 MG / Zidovudine 300 MG Oral Tablet [Combivir],00173-0595-00
1054.jpg, HEXAGON, WHITE,{35 (lamotrigine 25 MG Oral Tablet [Lamictal]) } Pack [Lamictal Blue (For Patients Taking Valproate)],00173-0633-10
1055.jpg, ROUND, BROWN,Chlorambucil 2 MG Oral Tablet [Leukeran],00173-0635-35
1056.jpg, HEXAGON, ORANGE,lamotrigine 100 MG Oral Tablet [Lamictal],00173-0642-55
1057.jpg, HEXAGON, WHITE,lamotrigine 150 MG Oral Tablet [Lamictal],00173-0643-60
1058.jpg, HEXAGON, BLUE,lamotrigine 200 MG Oral Tablet [Lamictal],00173-0644-60
1059.jpg, OVAL,ORANGE,Lamivudine 100 MG Oral Tablet [Epivir HBV],00173-0662-00
1060.jpg, ROUND, PINK,Atovaquone 250 MG / proguanil hydrochloride 100 MG Oral Tablet [Malarone],00173-0675-02
1061.jpg, ROUND, PINK,Atovaquone 62.5 MG / proguanil hydrochloride 25 MG Oral Tablet [Malarone],00173-0676-01
1062.jpg, ROUND, WHITE,lamotrigine 2 MG Chewable Tablet [Lamictal],00173-0699-02
1063.jpg, OVAL, YELLOW,Dutasteride 0.5 MG Oral Capsule [Avodart],00173-0712-02
1064.jpg, ROUND, WHITE,Busulfan 2 MG Oral Tablet [Myleran],00173-0713-25
1065.jpg, ROUND, PINK,12 HR Bupropion Hydrochloride 200 MG Extended Release Oral Tablet [Wellbutrin],00173-0722-00
1066.jpg, TRIANGLE, PINK,Sumatriptan 100 MG Oral Tablet [Imitrex],00173-0737-01
1067.jpg, OVAL, ORANGE,lapatinib 250 MG Oral Tablet [Tykerb],00173-0752-00
1068.jpg, ROUND," GREEN, WHITE",24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal],00173-0755-00
1069.jpg, ROUND," ORANGE, WHITE",24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal],00173-0756-00
1070.jpg, ROUND," YELLOW, WHITE",{21 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Blue Patient Titration Kit (for Patients Taking Valproate)],00173-0758-60
1071.jpg, ROUND," GREEN, WHITE",{21 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Blue Patient Titration Kit (for Patients Taking Valproate)],00173-0758-60
1072.jpg, ROUND," BLUE, WHITE","{14 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 200 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Green Patient Titration Kit (for Patients Taking Carbamazepine, Phenytoin, Phenobarbital, or Primidone, and Not Taking Valproate)]",00173-0759-60
1073.jpg, ROUND," ORANGE, WHITE","{14 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 200 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Green Patient Titration Kit (for Patients Taking Carbamazepine, Phenytoin, Phenobarbital, or Primidone, and Not Taking Valproate)]",00173-0759-60
1074.jpg, ROUND," BLUE, WHITE","{14 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 7 (24 HR lamotrigine 200 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Green Patient Titration Kit (for Patients Taking Carbamazepine, Phenytoin, Phenobarbital, or Primidone, and Not Taking Valproate)]",00173-0759-60
1075.jpg, ROUND," ORANGE, WHITE","{7 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Orange Patient Titration Kit (for Patients Not Taking Carbamazepine, Phenytoin, Phenobarbital, Primidone, or Valproate)]",00173-0760-60
1076.jpg, ROUND," YELLOW, WHITE","{7 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Orange Patient Titration Kit (for Patients Not Taking Carbamazepine, Phenytoin, Phenobarbital, Primidone, or Valproate)]",00173-0760-60
1077.jpg, ROUND," GREEN, WHITE","{7 (24 HR lamotrigine 100 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 25 MG Extended Release Oral Tablet [Lamictal]) / 14 (24 HR lamotrigine 50 MG Extended Release Oral Tablet [Lamictal]) } Pack [Lamictal XR Orange Patient Titration Kit (for Patients Not Taking Carbamazepine, Phenytoin, Phenobarbital, Primidone, or Valproate)]",00173-0760-60
1078.jpg, OVAL," GRAY, WHITE",24 HR lamotrigine 300 MG Extended Release Oral Tablet [Lamictal],00173-0761-00
1079.jpg, ROUND, WHITE,lamotrigine 200 MG Disintegrating Oral Tablet [Lamictal],00173-0777-02
1080.jpg, ROUND, WHITE,{7 (lamotrigine 100 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 25 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal]) } Pack [Lamictal ODT Orange Patient Titration Kit (For Patients Not Taking Enzyme-Inducing Drugs or Valproate)],00173-0778-61
1081.jpg, ROUND, WHITE,{7 (lamotrigine 100 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 25 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal]) } Pack [Lamictal ODT Orange Patient Titration Kit (For Patients Not Taking Enzyme-Inducing Drugs or Valproate)],00173-0778-61
1082.jpg, ROUND, WHITE,{7 (lamotrigine 100 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 25 MG Disintegrating Oral Tablet [Lamictal]) / 14 (lamotrigine 50 MG Disintegrating Oral Tablet [Lamictal]) } Pack [Lamictal ODT Orange Patient Titration Kit (For Patients Not Taking Enzyme-Inducing Drugs or Valproate)],00173-0778-61
1083.jpg, OVAL, YELLOW,Omega-3 Acid Ethyl Esters (USP) 1000 MG Oral Capsule [Lovaza],00173-0783-62
1084.jpg, ROUND, PINK,24 HR Isradipine 5 MG Extended Release Tablet [Dynacirc],00173-0784-01
1085.jpg, ROUND, BROWN,24 HR Isradipine 10 MG Extended Release Tablet [Dynacirc],00173-0785-01
1086.jpg, CAPSULE," GRAY, WHITE",24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule [InnoPran],00173-0790-01
1087.jpg, CAPSULE," GRAY, WHITE",24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule [InnoPran],00173-0791-01
1088.jpg, ROUND, WHITE,Propafenone Hydrochloride 150 MG Oral Tablet [Rythmol],00173-0792-20
1089.jpg, OVAL, WHITE,24 HR gabapentin enacarbil 600 MG Extended Release Tablet [Horizant],00173-0806-61
1090.jpg, CAPSULE,"ORANGE, RED",Dutasteride 0.5 MG / Tamsulosin hydrochloride 0.4 MG Oral Capsule [Jalyn],00173-0809-61
1091.jpg, ROUND, WHITE,vardenafil 10 MG Disintegrating Oral Tablet [Staxyn],00173-0822-04
1092.jpg, CAPSULE, WHITE,12 HR Propafenone Hydrochloride 325 MG Extended Release Oral Capsule [Rythmol],00173-0824-18
1093.jpg, ROUND, ORANGE,vardenafil 10 MG Oral Tablet [Levitra],00173-0830-13
1094.jpg, ROUND, ORANGE,vardenafil 20 MG Oral Tablet [Levitra],00173-0831-13
1095.jpg, ROUND, WHITE,Thioguanine 40 MG Oral Tablet [Tabloid],00173-0880-25
1096.jpg, OVAL, BLUE,valacyclovir 500 MG Oral Tablet [Valtrex],00173-0933-08
1097.jpg, OVAL, BLUE,Acyclovir 800 MG Oral Tablet [Zovirax],00173-0945-55
1098.jpg, ROUND, BLUE,12 HR Bupropion Hydrochloride 100 MG Extended Release Oral Tablet [Wellbutrin],00173-0947-55
1099.jpg, HEXAGON, WHITE,Acyclovir 400 MG Oral Tablet [Zovirax],00173-0949-55
1100.jpg, CAPSULE, BLUE,Acyclovir 200 MG Oral Capsule [Zovirax],00173-0991-55
1101.jpg, RECTANGLE, GREEN,-,00178-0083-90
1102.jpg, OVAL, YELLOW,potassium citrate 15 MEQ Extended Release Oral Tablet [Urocit-K],00178-0615-01
1103.jpg, ROUND, WHITE,-,00182-0444-01
1104.jpg, ROUND,PINK,Hydrochlorothiazide 50 MG Oral Tablet,00182-0557-89
1105.jpg, CAPSULE," BLACK, YELLOW",Tetracycline 500 MG Oral Capsule,00182-0679-89
1106.jpg, ROUND, PINK,Vitamin B 12 1 MG Oral Tablet,00182-1017-01
1107.jpg, ROUND, YELLOW,Aspirin 81 MG Delayed Release Oral Tablet,00182-1061-05
1108.jpg, ROUND, BROWN,"sennosides, USP 8.6 MG Oral Tablet",00182-1093-01
1109.jpg, ROUND, ORANGE,"Docusate Sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet",00182-1113-01
1110.jpg, ROUND, PINK,-,00182-1535-00
1111.jpg, ROUND, WHITE,Glipizide 10 MG Oral Tablet,00182-1995-89
1112.jpg, OVAL, PINK,Calcium Carbonate 1500 MG / Cholecalciferol 400 UNT Oral Tablet [Calcarb with D],00182-4141-26
1113.jpg, ROUND, WHITE,Niacin 500 MG Oral Tablet,00182-4405-01
1114.jpg, OVAL, WHITE,Niacin 500 MG Extended Release Oral Tablet,00182-4417-01
1115.jpg, ROUND, WHITE,Labetalol hydrochloride 200 MG Oral Tablet,00182-8203-89
1116.jpg, ROUND, WHITE,Labetalol hydrochloride 100 MG Oral Tablet,00185-0010-01
1117.jpg, OVAL, WHITE,Fosinopril Sodium 10 MG Oral Tablet,00185-0041-09
1118.jpg, OVAL, WHITE,Fosinopril Sodium 20 MG Oral Tablet,00185-0042-09
1119.jpg, ROUND, ORANGE,midodrine hydrochloride 5 MG Oral Tablet,00185-0043-01
1120.jpg, ROUND, WHITE,Fosinopril Sodium 40 MG Oral Tablet,00185-0047-09
1121.jpg, ROUND, RED,Benazepril hydrochloride 40 MG Oral Tablet,00185-0048-01
1122.jpg, ROUND, ORANGE,Benazepril hydrochloride 10 MG Oral Tablet,00185-0053-01
1123.jpg, ROUND, BLUE,Lovastatin 20 MG Oral Tablet,00185-0072-60
1124.jpg, ROUND, GREEN,Lovastatin 40 MG Oral Tablet,00185-0074-60
1125.jpg, OVAL, ORANGE,Lisinopril 20 MG Oral Tablet,00185-0102-01
1126.jpg, OVAL, YELLOW,Lisinopril 40 MG Oral Tablet,00185-0104-01
1127.jpg, ROUND, WHITE,Labetalol hydrochloride 200 MG Oral Tablet,00185-0117-01
1128.jpg, ROUND, WHITE,Labetalol hydrochloride 300 MG Oral Tablet,00185-0118-01
